99.84,"College of Engineering, Pune",pune
99.43,"Pune Institute of Computer Technology, Dhankavdi, Pune",pune
99.17,"Walchand College of Engineering, Sangli",Sangli
99.12,"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi, Pune",pune
94.59,"Bharati Vidyapeeth's College of Engineering,Lavale, Pune",pune
95.76,"International Institute of Information Technology (I²IT), Pune.",pune
98.91,"Shri Ramdeobaba College of Engineering and Management, Nagpur",Nagpur
98.56,"Government College of Engineering, Aurangabad",Aurangabad
91.4,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Mumbai
92.83,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",pune
94.64,"Government College of Engineering, Amravati",Amravati
97.55,"MKSSS's Cummins College of Engineering for Women, Karvenagar,Pune",pune
91.14,"B.R.A.C.T's Vishwakarma Institute of Information Technology, Kondhwa (Bk.), Pune",pune
90.38,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Mumbai
97.66,"K J Somaiya Institute of Engineering and Information Technology, Sion, Mumbai",Mumbai
90.91,"MIT Academy of Engineering,Alandi, Pune",pune
94.84,"Laxminarayan Institute of Technology, Nagpur",Nagpur
94.32,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",Mumbai
92.38,"Government College of Engineering & Research, Avasari Khurd",pune
96.4,"Pimpri Chinchwad Education Trust's Pimpri Chinchwad College Of Engineering And Research, Ravet",pune
94.22,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Nanded
94.17,"Thadomal Shahani Engineering College, Bandra, Mumbai",Mumbai
96.38,"Vidyalankar Institute of Technology,Wadala, Mumbai",Mumbai
84.63,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune",pune
96.35,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",Mumbai
96.35,"All India Shri Shivaji Memorial Society's College of Engineering, Pune",pune
90.45,"Sinhgad College of Engineering, Vadgaon (BK), Pune",pune
96.23,"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",Mumbai
95.36,"Progressive Education Society's Modern College of Engineering, Pune",pune
90.58,"Government College of Engineering, Chandrapur",Chandrapur
96.21,"Ramrao Adik Edu Soc, Ramarao Adik Institute of Tech., Navi Mumbai",Mumbai
95.13,"Government College of Engineering, Jalgaon",Jalgaon
94.96,"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",pune
95.43,"All India Shri Shivaji Memorial Society's Institute of Information Technology,Pune",pune
93.03,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Shegaon
92.42,"Dr. D.Y.Patil Institute of Engineering, Management & Reseach, Akurdi, Pune",pune
95.05,"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",Mumbai
82.75,"K. K. Wagh Institute of Engineering Education and Research, Nashik",Nashik
92.01,"Modern Education Society's College of Engineering, Pune",pune
89.65,"University Department of Chemical Technology, Aurangabad",Aurangabad
78.3,"Rajiv Gandhi College of Engineering, At Post Karjule Hariya Tal.Parner, Dist.Ahmednagar",Ahmednagar
75.92,"Dr. D. Y. Patil Vidya Pratishthan Society Dr .D. Y. Patil Institute of Engineering & Technology, Pimpri,Pune",pune
88.33,"Government Engineering College, Yavatmal",Yavatmal
87.34,"K. E. Society's Rajarambapu Institute of Technology, Walwa, Sangli",Sangli
89.72,"Bharati Vidyapeeth's College of Engineering for Women, Katraj, Dhankawadi, Pune",pune
82.93,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",Nagpur
88.05,"Sinhgad Technical Education Society's Smt. Kashibai Navale College of Engineering,Vadgaon,Pune",pune
92.69,"Xavier Institute Of Engineering C/O Xavier Technical Institute,Mahim,Mumbai",Mumbai
90.21,"Marathwada Mitra Mandal's College of Engineering, Karvenagar, Pune",pune
80.73,"Walchand Institute of Technology, Solapur",Solapur
85.99,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",pune
82.77,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Kolhapur
85.33,"G.H.Raisoni Academy of Engineering & Technology, Nagpur",Nagpur
85.05,"St. Francis Institute of Technology,Borivali, Mumbai",Mumbai
81.98,"D. Y. Patil College of Engineering, Ambi, Talegaon, Maval",NA
78.51,"JSPM's Imperial College of Engineering and Research, Wagholi, Pune",pune
80.58,"JSPM Narhe Technical Campus, Pune.",pune
89.45,"Sanjivani Rural Education Society's Sanjivani College of Engineering, Kopargaon",Kopargaon
82.02,"Nashik District Maratha Vidya Prasarak Samaj's Karmaveer Adv.Babaurao Ganpatrao Thakare College of Engineering, Nashik",Nashik
86.57,"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering & Technology, Baramati Dist.Pune",pune
77.49,"TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",pune
79.65,"Guru Gobind Singh College of Engineering & Research Centre, Nashik.",Nashik
87.01,"Dattajirao Kadam Technical Education Society's Textile & Engineering Institute, Ichalkaranji.",NA
83.14,"Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of Engineering &Technology, Talegaon station, Pune",pune
80.73,"Sinhgad Technical Education Society, Sinhgad Institute of Technology and Science, Narhe (Ambegaon)",pune
83.69,"Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering, Nagpur",Nagpur
85.9,"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai",Mumbai
74.8,"Dhole Patil Education Society, Dhole Patil College of Engineering, Wagholi, Tal. Haveli",pune
80.17,"Sinhagad Institute of Technology, Lonavala",pune
